source,target,amount,label
190,189,1894.6,0
193,73,1639.78,0
18,137,1105.11,0
166,85,3967.33,0
69,115,4531.27,0
189,107,2654.12,0
11,51,4434.66,0
195,139,1917.19,0
61,146,2112.01,0
18,175,1205.45,0
111,88,3656.3,0
159,39,1230.8,0
113,88,4938.88,0
187,147,68548.41,1
154,183,2159.27,0
136,180,1189.05,0
139,129,3942.74,0
46,43,916.59,0
124,123,1108.05,0
78,61,336.73,0
159,82,4328.02,0
52,87,3052.97,0
57,173,3634.87,0
153,30,3991.32,0
192,60,3380.34,0
25,152,13480.22,1
138,164,191746.72,1
183,184,2419.39,0
92,162,4463.3,0
161,15,1183.26,0
168,154,4372.73,0
129,141,150.65,0
6,158,4426.96,0
138,93,2677.72,0
6,155,4648.97,0
138,193,3663.16,0
105,90,4374.36,0
29,174,4429.7,0
65,0,150940.27,1
154,64,178.03,0
107,95,198621.32,1
170,171,473.79,0
25,49,1516.42,0
67,33,4669.63,0
81,164,417.12,0
95,113,3827.27,0
82,48,4904.83,0
192,108,4347.06,0
14,12,2941.68,0
63,1,57331.56,1
173,191,4518.89,0
9,32,2536.34,0
188,139,4009.35,0
178,154,142827.34,1
178,132,2349.52,0
167,172,2379.4,0
154,67,4045.28,0
195,172,4116.04,0
77,50,4996.9,0
95,141,4674.75,0
104,38,64878.48,1
134,81,141387.52,1
178,57,64895.11,1
28,39,3155.86,0
197,27,3903.18,0
168,121,4736.9,0
175,103,1522.3,0
158,117,4168.53,0
117,181,807.31,0
109,0,3093.31,0
140,114,4491.18,0
96,20,138766.96,1
174,81,3355.81,0
40,103,139412.21,1
177,126,1476.68,0
160,158,4432.99,0
154,121,2531.77,0
92,22,2211.72,0
11,56,2006.55,0
98,157,2119.77,0
197,160,2495.88,0
120,193,110740.91,1
166,194,13115.11,1
97,182,173965.53,2
80,79,2601.15,0
197,184,3419.69,0
66,141,187408.34,1
134,38,53506.98,1
156,73,3485.2,0
9,169,1716.98,0
165,91,349.72,0
141,180,2167.05,0
27,172,1207.42,0
187,142,3326.26,0
104,85,1639.24,0
55,193,173699.94,1
183,178,1950.69,0
173,153,309.21,0
4,128,163939.34,1
4,94,1689.64,0
148,184,87592.57,1
87,28,1502.83,0
115,125,155303.77,2
74,76,4264.24,0
170,30,96821.23,1
0,99,1362.76,0
96,101,4710.28,0
21,197,124644.98,2
146,103,3562.02,0
84,99,168931.05,2
111,187,2982.75,0
146,94,2363.66,0
102,125,416.71,0
104,158,3759.91,0
190,121,2277.85,0
69,72,3043.91,0
80,66,1061.08,0
56,34,99289.11,1
9,44,87651.8,1
97,71,3772.45,0
23,157,2990.7,0
17,197,1431.67,0
