step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
6,PAYMENT,2002.96,C1612554042,186648.78,184645.82,M1546272524,0.0,0.0,0,0
4,TRANSFER,522854.73,C539322891,0.0,0.0,C1916720513,6255171.04,6778025.76,0,0
1,CASH_IN,66413.56,C1541075662,7197141.06,7263554.62,C1590550415,19341041.88,19169204.93,0,0
4,CASH_OUT,116878.6,C1508667424,0.0,0.0,C1782113663,1356589.82,906564.46,0,0
4,CASH_IN,489529.12,C656844049,10707776.83,11197305.95,C248609774,7760414.85,6736054.44,0,0
6,CASH_IN,38739.05,C1170952967,2442504.31,2481243.36,C1183572822,129437.84,90698.78,0,0
1,PAYMENT,704.74,C1456061400,0.0,0.0,M1661777060,0.0,0.0,0,0
5,PAYMENT,5435.76,C1167582947,0.0,0.0,M1106043431,0.0,0.0,0,0
6,CASH_IN,46002.88,C823790002,6564756.68,6610759.56,C2043975568,58424.82,12421.94,0,0
1,CASH_IN,131409.27,C1476235721,8491742.16,8623151.43,C1068824137,290276.03,265092.36,0,0
2,CASH_IN,202758.62,C1687702287,1754955.07,1957713.69,C1068824137,631528.6,45982.28,0,0
7,PAYMENT,3439.96,C1803439542,10030.6,6590.64,M1549393863,0.0,0.0,0,0
5,PAYMENT,10940.74,C1919584041,325453.0,314512.26,M438772947,0.0,0.0,0,0
6,PAYMENT,7959.49,C1819665340,0.0,0.0,M409957428,0.0,0.0,0,0
3,DEBIT,5922.61,C512734831,17149.68,11227.07,C461160828,18493.88,24416.5,0,0
6,PAYMENT,35758.01,C653557958,206419.0,170660.99,M627556497,0.0,0.0,0,0
1,PAYMENT,4233.45,C737104370,0.0,0.0,M105966264,0.0,0.0,0,0
7,CASH_OUT,541556.34,C772310098,0.0,0.0,C909295153,9092634.94,10946293.06,0,0
6,PAYMENT,11132.52,C257641638,10673.0,0.0,M39898352,0.0,0.0,0,0
7,TRANSFER,436436.54,C81745089,0.0,0.0,C1419794148,2030839.78,2813795.5,0,0
7,PAYMENT,6689.88,C1382809908,22051.0,15361.12,M642143005,0.0,0.0,0,0
1,CASH_IN,27948.65,C1113414982,1180034.22,1207982.87,C611572016,30557.29,2608.64,0,0
4,TRANSFER,14237.75,C54440148,30258.0,16020.25,C116289363,0.0,14237.75,0,0
7,PAYMENT,6248.42,C519632870,0.0,0.0,M1517228866,0.0,0.0,0,0
5,CASH_IN,94588.1,C1717104778,8724669.46,8819257.56,C1397088232,152984.0,0.0,0,0
7,CASH_OUT,198823.6,C1384801340,9448.47,0.0,C1266035080,2026441.55,3232606.04,0,0
1,PAYMENT,6905.9,C1774589469,10614.5,3708.6,M988786279,0.0,0.0,0,0
7,PAYMENT,12157.95,C1267385618,0.0,0.0,M1485974016,0.0,0.0,0,0
6,CASH_OUT,85074.07,C1909002529,0.0,0.0,C542766981,124897.0,43655.86,0,0
7,CASH_OUT,26205.91,C1541339374,0.0,0.0,C1297685781,1094402.81,1120608.72,0,0
1,PAYMENT,4802.31,C424786033,0.0,0.0,M1545077099,0.0,0.0,0,0
1,CASH_IN,208664.25,C1216611732,4800759.18,4800759.18,C1870252780,4800759.18,7416184.79,0,0
